comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,views
150,1418,TEDIndia 2009,1257379200,23,Kavita Ramdas,"Kavita Ramdas: Radical women, embracing tradition",1,1272272700,Philanthropist,"Radical women, embracing tradition",473956
278,1198,TED2010,1265932800,24,Stephen Wolfram,Stephen Wolfram: Computing a theory of all knowledge,1,1272357000,"Scientist, inventor",Computing a theory of all knowledge,1542898
84,1115,Mission Blue Voyage,1270684800,26,Roz Savage,Roz Savage: Why I'm rowing across the Pacific,1,1272442140,Ocean rower,Why I'm rowing across the Pacific,642744
79,1115,TED2010,1266019200,22,George Whitesides,George Whitesides: Toward a science of simplicity,1,1272472440,Chemist,Toward a science of simplicity,619489
279,359,TED2010,1265760000,37,Sebastian Wernicke,"Sebastian Wernicke: Lies, damned lies and statistics (about TEDTalks)",1,1272617940,Data scientist,"Lies, damned lies and statistics (about TEDTalks)",2212944
206,1007,TED2010,1265932800,28,Esther Duflo,Esther Duflo: Social experiments to fight poverty,1,1272878340,Development economist,Social experiments to fight poverty,876307
1930,1084,TEDxPuget Sound ,1253145600,45,Simon Sinek,Simon Sinek: How great leaders inspire action,1,1272965460,Leadership expert,How great leaders inspire action,34309432
292,1099,Mission Blue Voyage,1270771200,24,Jeremy Jackson,Jeremy Jackson: How we wrecked the ocean,1,1273048080,Marine ecologist,How we wrecked the ocean,612260
120,1375,TEDIndia 2009,1257503160,26,Anil Gupta,Anil Gupta: India's hidden hotbeds of invention,1,1273137600,Innovation advocate,India's hidden hotbeds of invention,649531
64,297,TED2010,1265760000,26,Thomas Dolby,"Thomas Dolby: ""Love Is a Loaded Pistol""",2,1273216740,Electronic music pioneer,"""Love Is a Loaded Pistol""",577356
314,1259,TED2010,1265932800,31,Nicholas Christakis,Nicholas Christakis: The hidden influence of social networks,1,1273483440,"Physician, social scientist",The hidden influence of social networks,1324929
304,1018,TED2010,1265932800,24,Nathan Myhrvold,Nathan Myhrvold: Could this laser zap malaria?,1,1273568940,Polymath,Could this laser zap malaria?,851719
98,1195,Mission Blue Voyage,1270857600,20,Enric Sala,Enric Sala: Glimpses of a pristine ocean,1,1273654320,Marine ecologist,Glimpses of a pristine ocean,316507
454,699,TEDxNYED,1267833600,32,Dan Meyer,Dan Meyer: Math class needs a makeover,1,1273738980,Educator,Math class needs a makeover,2465179
233,316,TED2010,1265932800,41,Julia Sweeney,"Julia Sweeney: It's time for ""The Talk""",1,1273827600,"Actor, comedian, playwright","It's time for ""The Talk""",3362099
373,262,Toronto Youth Corps,74649600,0,Viktor Frankl,Viktor Frankl: Why believe in others,1,1273847820,"Psychiatrist, neurologist, author",Why believe in others,1028630
585,1202,TED2010,1265760000,38,William Li,William Li: Can we eat to starve cancer?,1,1274084940,Cancer researcher,Can we eat to starve cancer?,4149065
650,345,TED2010,1265760000,49,Graham Hill,Graham Hill: Why I'm a weekday vegetarian,1,1274168700,Journalist,Why I'm a weekday vegetarian,2108816
68,909,Mission Blue Voyage,1270857600,21,Dee Boersma,Dee Boersma: Pay attention to penguins,1,1274258760,Conservation biologist,Pay attention to penguins,358820
212,588,TED2010,1270857600,31,Richard Sears,Richard Sears: Planning for the end of oil,1,1274352780,Geophysicist,Planning for the end of oil,603657
580,1097,TED in the Field,1274400000,25,Craig Venter,"Craig Venter: Watch me unveil ""synthetic life""",1,1274433180,"Biologist, genetics pioneer","Watch me unveil ""synthetic life""",1086357
1234,1008,TED2010,1265414400,57,Ken Robinson,Ken Robinson: Bring on the learning revolution!,1,1274691960,Author/educator,Bring on the learning revolution!,7266316
304,936,TEDxUSC,1271116800,30,Johanna Blakley,Johanna Blakley: Lessons from fashion's free culture,1,1274773980,Media maven,Lessons from fashion's free culture,1033272
1502,489,TED2010,1265760000,32,Sharmeen Obaid-Chinoy,Sharmeen Obaid-Chinoy: Inside a school for suicide bombers,1,1274865960,Filmmaker,Inside a school for suicide bombers,1057238
139,1265,TED2010,1265328000,25,Seth Berkley,Seth Berkley: HIV and flu -- the vaccine strategy,1,1274952720,Vaccine visionary,HIV and flu -- the vaccine strategy,541076
85,1384,TEDGlobal 2009,1248307200,0,Sophie Hunger,Sophie Hunger: Songs of secrets and city lights,1,1275038460,Singer,Songs of secrets and city lights,518461
88,1125,TEDxNYED,1270857600,23,Lawrence Lessig,Lawrence Lessig: Re-examining the remix,1,1275304380,Legal activist,Re-examining the remix,389961
227,922,TED2010,1265846400,23,John Underkoffler,John Underkoffler: Pointing to the future of UI,1,1275381600,Interface designer,Pointing to the future of UI,1514014
342,973,Mission Blue Voyage,1271376000,26,Brian Skerry,Brian Skerry: The ocean's glory -- and horror,1,1275428160,Photographer,The ocean's glory -- and horror,1426130
477,790,TED2010,1265932800,28,"Christopher ""moot"" Poole""","Christopher ""moot"" Poole"": The case for anonymity online",1,1275467340,"Founder, 4chan",The case for anonymity online,1451649
228,989,TEDSalon London 2010,1271635200,33,Brian Cox,Brian Cox: Why we need the explorers,1,1275557100,Physicist ,Why we need the explorers,1616851
142,868,TEDxUSC,1271116800,33,Adam Sadowsky,Adam Sadowsky: How to engineer a viral music video,1,1275642720,Creative entrepreneur ,How to engineer a viral music video,1059130
393,1182,TED2010,1265846400,32,Michael Sandel,Michael Sandel: The lost art of democratic debate,1,1275901260,Political philosopher,The lost art of democratic debate,1160672
86,946,TED2010,1265760000,23,John Kasaona,John Kasaona: How poachers became caretakers,1,1275986880,Conservationist,How poachers became caretakers,327406
491,757,TEDSalon London 2010,1271635200,30,Rory Sutherland,Rory Sutherland: Sweat the small stuff,1,1276074300,Advertising guru,Sweat the small stuff,1056987
921,1379,TED2010,1265932800,27,Stewart Brand + Mark Z. Jacobson,Stewart Brand + Mark Z. Jacobson: Debate: Does the world need nuclear energy?,2,1276161900,"Environmentalist, futurist",Debate: Does the world need nuclear energy?,1294171
149,960,TED2010,1265932800,30,David Byrne,David Byrne: How architecture helped music evolve,1,1276247640,"Musician, artist, writer",How architecture helped music evolve,1231159
837,1141,TED2010,1265760000,34,Michael Shermer,Michael Shermer: The pattern behind self-deception,1,1276507380,Skeptic,The pattern behind self-deception,2428958
223,345,TED2010,1265760000,35,Margaret Gould Stewart,Margaret Gould Stewart: How YouTube thinks about copyright,1,1276591200,User experience master,How YouTube thinks about copyright,777079
62,1280,Mission Blue Voyage,1271289600,22,Peter Tyack,Peter Tyack: The intriguing sound of marine mammals,1,1276678380,Behavioral ecologist,The intriguing sound of marine mammals,428470
683,1284,TEDxEdmonton,1268438400,34,Cameron Herold,Cameron Herold: Let's raise kids to be entrepreneurs,1,1276766340,Entrepreneur,Let's raise kids to be entrepreneurs,1579033
155,967,TEDIndia 2009,1257984000,31,Ananda Shankar Jayant,Ananda Shankar Jayant: Fighting cancer with dance,1,1276851600,Dancer and choreographer,Fighting cancer with dance,587639
363,1059,TED2010,1265932800,34,Chip Conley,Chip Conley: Measuring what makes life worthwhile,1,1277108940,"CEO, author",Measuring what makes life worthwhile,2785058
135,988,TED2010,1265932800,24,Marian Bantjes,Marian Bantjes: Intricate beauty by design,1,1277198100,"Designer, illustrator, typographer",Intricate beauty by design,629753
147,1138,TEDSalon London 2010,1272153600,29,Charles Leadbeater,Charles Leadbeater: Education innovation in the slums,1,1277282880,Innovation consultant,Education innovation in the slums,772299
287,541,TEDIndia 2009,1257897600,43,Aditi Shankardass,Aditi Shankardass: A second opinion on developmental disorders,1,1277369340,Neuroscientist ,A second opinion on developmental disorders,957087
138,350,TED2010,1265932800,32,Hillel Cooperman,Hillel Cooperman: Legos for grownups,1,1277455860,"Entrepreneur, Lego enthusiast",Legos for grownups,1014201
294,787,TED@Cannes,1277164800,30,Clay Shirky,Clay Shirky: How cognitive surplus will change the world,1,1277715840,Social Media Theorist,How cognitive surplus will change the world,954924
118,1163,TEDxAtlanta,1264464000,22,Ellen Dunham-Jones,Ellen Dunham-Jones: Retrofitting suburbia,1,1277803440,Architect,Retrofitting suburbia,668454
69,942,Mission Blue Voyage,1270857600,21,Stephen Palumbi,Stephen Palumbi: Hidden toxins in the fish we eat,1,1277889060,Marine biologist,Hidden toxins in the fish we eat,362741
179,417,TED2010,1265846400,35,Carter Emmart,Carter Emmart: A 3D atlas of the universe,1,1277975100,"Scientist, Artist ",A 3D atlas of the universe,1678493
254,176,TED2010,1265932800,48,Mitchell Joachim,"Mitchell Joachim: Don't build your home, grow it!",1,1278063240,"Architect, designer","Don't build your home, grow it!",1332785
127,1029,TED2010,1265932800,29,Benoit Mandelbrot,Benoit Mandelbrot: Fractals and the art of roughness,1,1278408000,Mathematician,Fractals and the art of roughness,1212079
296,675,TEDxEast,1273190400,28,Ellen  Gustafson,Ellen  Gustafson: Obesity + hunger = 1 global food issue,1,1278492420,Social entrepreneur,Obesity + hunger = 1 global food issue,664485
150,307,TED2010,1265846400,32,Nalini Nadkarni,Nalini Nadkarni: Life science in prison,1,1278579120,Tree researcher,Life science in prison,426610
607,604,TED@Cannes,1277078400,46,Hans Rosling,"Hans Rosling: Global population growth, box by box",1,1278663300,Global health expert; data visionary,"Global population growth, box by box",2934262
368,1195,TEDxOilSpill,1277683200,28,Carl Safina,Carl Safina: The oil spill's unseen villains -- and victims,1,1278926880,"Ecologist, writer",The oil spill's unseen villains -- and victims,594725
459,986,TEDGlobal 2010,1278979200,34,Matt Ridley,Matt Ridley: When ideas have sex,1,1279106400,Rational optimist,When ideas have sex,2156157
141,1185,TEDGlobal 2010,1279065600,26,Ethan Zuckerman,Ethan Zuckerman: Listening to global voices,1,1279189320,"Blogger, digital visionary",Listening to global voices,694714
1217,1185,TEDGlobal 2010,1279065600,33,Elif Shafak,Elif Shafak: The politics of fiction,1,1279262220,Novelist,The politics of fiction,1763449
926,1173,TEDGlobal 2010,1279238400,44,Julian Assange,Julian Assange: Why the world needs WikiLeaks,1,1279533840,Whistleblower,Why the world needs WikiLeaks,2278271
804,1102,TEDGlobal 2010,1278979200,25,Naif Al-Mutawa,Naif Al-Mutawa: Superheroes inspired by Islam,1,1279616880,"Creator, The 99",Superheroes inspired by Islam,819361
274,1110,TEDGlobal 2010,1279152000,27,Dimitar Sasselov,Dimitar Sasselov: How we found hundreds of potential Earth-like planets,1,1279703400,Astronomer,How we found hundreds of potential Earth-like planets,1123482
581,636,TEDGlobal 2010,1279238400,34,Tan Le,Tan Le: A headset that reads your brainwaves,1,1279715760,Entrepreneur,A headset that reads your brainwaves,2468906
113,411,TED2010,1265903160,28,Kevin Stone,Kevin Stone: The bio-future of joint replacement,1,1279809840,"Surgeon, inventor",The bio-future of joint replacement,486269
959,1448,TEDGlobal 2010,1279152000,37,Sheena Iyengar,Sheena Iyengar: The art of choosing,1,1280133360,Psycho-economist,The art of choosing,3087856
123,1002,TEDxOilSpill,1277683200,17,Susan Shaw,Susan Shaw: The oil spill's toxic trade-off,1,1280221320,Marine toxicologist,The oil spill's toxic trade-off,220099
218,1124,Princeton University,1273881600,0,Jeff Bezos,Jeff Bezos: What matters more than your talents,1,1280234580,Online commerce pioneer,What matters more than your talents,659664
58,1250,Mission Blue Voyage,1271203200,19,John Delaney,John Delaney: Wiring an interactive ocean,1,1280309580,Oceanographer,Wiring an interactive ocean,332099
